date,year,site,region,measure,data_value,unit,statistic,dataset
2002-09-09,2002,Taiaroa Head (50km offshore),Otago,pH,8.0753,NA,Value,Munida
2002-09-09,2002,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.4087e-09,mol/kg-1,Value,Munida
2002-09-09,2002,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,365.3,uatm,Value,Munida
2002-09-09,2002,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.5,Degrees Celsius,Mean,Munida
2002-09-09,2002,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.006,NA,Value,Munida
2002-12-03,2002,Taiaroa Head (50km offshore),Otago,Salinity,34.501,NA,Mean,Munida
2002-12-03,2002,Taiaroa Head (50km offshore),Otago,Total alkalinity,2283.3,umol/kg-1,Value,Munida
2002-12-03,2002,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2063.1,umol/kg-1,Value,Munida
2002-12-03,2002,Taiaroa Head (50km offshore),Otago,pH,8.1063,NA,Value,Munida
2002-12-03,2002,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,7.8287e-09,mol/kg-1,Value,Munida
2002-12-03,2002,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,337.2,uatm,Value,Munida
2002-12-03,2002,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.8,Degrees Celsius,Mean,Munida
2002-12-03,2002,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.398,NA,Value,Munida
2003-02-03,2003,Taiaroa Head (50km offshore),Otago,Salinity,34.300,NA,Mean,Munida
2003-02-03,2003,Taiaroa Head (50km offshore),Otago,Total alkalinity,2284.9,umol/kg-1,Value,Munida
2003-02-03,2003,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2067.8,umol/kg-1,Value,Munida
2003-02-03,2003,Taiaroa Head (50km offshore),Otago,pH,8.0938,NA,Value,Munida
2003-02-03,2003,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.0573e-09,mol/kg-1,Value,Munida
2003-02-03,2003,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,349.7,uatm,Value,Munida
2003-02-03,2003,Taiaroa Head (50km offshore),Otago,Salt water temperature,12.3,Degrees Celsius,Mean,Munida
2003-02-03,2003,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.381,NA,Value,Munida
2003-04-14,2003,Taiaroa Head (50km offshore),Otago,Salinity,34.286,NA,Mean,Munida
2003-04-14,2003,Taiaroa Head (50km offshore),Otago,Total alkalinity,2276.7,umol/kg-1,Value,Munida
2003-04-14,2003,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2064.5,umol/kg-1,Value,Munida
2003-04-14,2003,Taiaroa Head (50km offshore),Otago,pH,8.0998,NA,Value,Munida
2003-04-14,2003,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,7.9476e-09,mol/kg-1,Value,Munida
2003-04-14,2003,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,342.6,uatm,Value,Munida
2003-04-14,2003,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.3,Degrees Celsius,Mean,Munida
2003-04-14,2003,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.319,NA,Value,Munida
2003-06-09,2003,Taiaroa Head (50km offshore),Otago,Salinity,34.248,NA,Mean,Munida
2003-06-09,2003,Taiaroa Head (50km offshore),Otago,Total alkalinity,2293.3,umol/kg-1,Value,Munida
2003-06-09,2003,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2100.1,umol/kg-1,Value,Munida
2003-06-09,2003,Taiaroa Head (50km offshore),Otago,pH,8.0903,NA,Value,Munida
2003-06-09,2003,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.1233e-09,mol/kg-1,Value,Munida
2003-06-09,2003,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,353.1,uatm,Value,Munida
2003-06-09,2003,Taiaroa Head (50km offshore),Otago,Salt water temperature,9.2,Degrees Celsius,Mean,Munida
2003-06-09,2003,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.128,NA,Value,Munida
2003-08-12,2003,Taiaroa Head (50km offshore),Otago,Salinity,34.238,NA,Mean,Munida
2003-08-12,2003,Taiaroa Head (50km offshore),Otago,Total alkalinity,2294.0,umol/kg-1,Value,Munida
2003-08-12,2003,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2115.5,umol/kg-1,Value,Munida
2003-08-12,2003,Taiaroa Head (50km offshore),Otago,pH,8.0814,NA,Value,Munida
2003-08-12,2003,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.2909e-09,mol/kg-1,Value,Munida
2003-08-12,2003,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,360.5,uatm,Value,Munida
2003-08-12,2003,Taiaroa Head (50km offshore),Otago,Salt water temperature,7.7,Degrees Celsius,Mean,Munida
2003-08-12,2003,Taiaroa Head (50km offshore),Otago,Aragonite saturation,1.979,NA,Value,Munida
2003-10-15,2003,Taiaroa Head (50km offshore),Otago,Salinity,34.408,NA,Mean,Munida
2003-10-15,2003,Taiaroa Head (50km offshore),Otago,Total alkalinity,2295.7,umol/kg-1,Value,Munida
2003-10-15,2003,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2109.4,umol/kg-1,Value,Munida
2003-10-15,2003,Taiaroa Head (50km offshore),Otago,pH,8.0784,NA,Value,Munida
2003-10-15,2003,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.3479e-09,mol/kg-1,Value,Munida
2003-10-15,2003,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,364.1,uatm,Value,Munida
2003-10-15,2003,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.8,Degrees Celsius,Mean,Munida
2003-10-15,2003,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.058,NA,Value,Munida
2004-01-27,2004,Taiaroa Head (50km offshore),Otago,Salinity,34.460,NA,Mean,Munida
2004-01-27,2004,Taiaroa Head (50km offshore),Otago,Total alkalinity,2283.1,umol/kg-1,Value,Munida
2004-01-27,2004,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2042.6,umol/kg-1,Value,Munida
2004-01-27,2004,Taiaroa Head (50km offshore),Otago,pH,8.1253,NA,Value,Munida
2004-01-27,2004,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,7.4945e-09,mol/kg-1,Value,Munida
2004-01-27,2004,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,320.6,uatm,Value,Munida
2004-01-27,2004,Taiaroa Head (50km offshore),Otago,Salt water temperature,13.2,Degrees Celsius,Mean,Munida
2004-01-27,2004,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.611,NA,Value,Munida
2004-03-03,2004,Taiaroa Head (50km offshore),Otago,Salinity,34.260,NA,Mean,Munida
2004-03-03,2004,Taiaroa Head (50km offshore),Otago,Total alkalinity,2278.8,umol/kg-1,Value,Munida
2004-03-03,2004,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2060.2,umol/kg-1,Value,Munida
2004-03-03,2004,Taiaroa Head (50km offshore),Otago,pH,8.1056,NA,Value,Munida
2004-03-03,2004,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,7.8414e-09,mol/kg-1,Value,Munida
2004-03-03,2004,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,337.8,uatm,Value,Munida
2004-03-03,2004,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.8,Degrees Celsius,Mean,Munida
2004-03-03,2004,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.388,NA,Value,Munida
2004-03-23,2004,Taiaroa Head (50km offshore),Otago,Salinity,34.300,NA,Mean,Munida
2004-03-23,2004,Taiaroa Head (50km offshore),Otago,Total alkalinity,2279.7,umol/kg-1,Value,Munida
2004-03-23,2004,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2057.1,umol/kg-1,Value,Munida
2004-03-23,2004,Taiaroa Head (50km offshore),Otago,pH,8.1110,NA,Value,Munida
2004-03-23,2004,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,7.7453e-09,mol/kg-1,Value,Munida
2004-03-23,2004,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,333.0,uatm,Value,Munida
2004-03-23,2004,Taiaroa Head (50km offshore),Otago,Salt water temperature,12.0,Degrees Celsius,Mean,Munida
2004-03-23,2004,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.427,NA,Value,Munida
2004-05-10,2004,Taiaroa Head (50km offshore),Otago,Salinity,34.355,NA,Mean,Munida
2004-05-10,2004,Taiaroa Head (50km offshore),Otago,Total alkalinity,2280.9,umol/kg-1,Value,Munida
2004-05-10,2004,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2085.8,umol/kg-1,Value,Munida
2004-05-10,2004,Taiaroa Head (50km offshore),Otago,pH,8.0853,NA,Value,Munida
2004-05-10,2004,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.2163e-09,mol/kg-1,Value,Munida
2004-05-10,2004,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,355.9,uatm,Value,Munida
2004-05-10,2004,Taiaroa Head (50km offshore),Otago,Salt water temperature,9.8,Degrees Celsius,Mean,Munida
2004-05-10,2004,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.144,NA,Value,Munida
2004-07-28,2004,Taiaroa Head (50km offshore),Otago,Salinity,34.359,NA,Mean,Munida
2004-07-28,2004,Taiaroa Head (50km offshore),Otago,Total alkalinity,2280.7,umol/kg-1,Value,Munida
2004-07-28,2004,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2098.4,umol/kg-1,Value,Munida
2004-07-28,2004,Taiaroa Head (50km offshore),Otago,pH,8.0818,NA,Value,Munida
2004-07-28,2004,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.2828e-09,mol/kg-1,Value,Munida
2004-07-28,2004,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,358.1,uatm,Value,Munida
2004-07-28,2004,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.2,Degrees Celsius,Mean,Munida
2004-07-28,2004,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.011,NA,Value,Munida
2004-09-13,2004,Taiaroa Head (50km offshore),Otago,Salinity,34.566,NA,Mean,Munida
2004-09-13,2004,Taiaroa Head (50km offshore),Otago,Total alkalinity,2286.8,umol/kg-1,Value,Munida
2004-09-13,2004,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2102.3,umol/kg-1,Value,Munida
2004-09-13,2004,Taiaroa Head (50km offshore),Otago,pH,8.0701,NA,Value,Munida
2004-09-13,2004,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.5102e-09,mol/kg-1,Value,Munida
2004-09-13,2004,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,370.5,uatm,Value,Munida
2004-09-13,2004,Taiaroa Head (50km offshore),Otago,Salt water temperature,9.0,Degrees Celsius,Mean,Munida
2004-09-13,2004,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.037,NA,Value,Munida
2004-11-08,2004,Taiaroa Head (50km offshore),Otago,Salinity,34.493,NA,Mean,Munida
2004-11-08,2004,Taiaroa Head (50km offshore),Otago,Total alkalinity,2288.0,umol/kg-1,Value,Munida
2004-11-08,2004,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2088.6,umol/kg-1,Value,Munida
2004-11-08,2004,Taiaroa Head (50km offshore),Otago,pH,8.0877,NA,Value,Munida
2004-11-08,2004,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.1710e-09,mol/kg-1,Value,Munida
2004-11-08,2004,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,354.5,uatm,Value,Munida
2004-11-08,2004,Taiaroa Head (50km offshore),Otago,Salt water temperature,10.1,Degrees Celsius,Mean,Munida
2004-11-08,2004,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.187,NA,Value,Munida
2005-01-21,2005,Taiaroa Head (50km offshore),Otago,Salinity,34.143,NA,Mean,Munida
2005-01-21,2005,Taiaroa Head (50km offshore),Otago,Total alkalinity,2296.1,umol/kg-1,Value,Munida
2005-01-21,2005,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2088.1,umol/kg-1,Value,Munida
2005-01-21,2005,Taiaroa Head (50km offshore),Otago,pH,8.0900,NA,Value,Munida
2005-01-21,2005,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.1281e-09,mol/kg-1,Value,Munida
2005-01-21,2005,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,355.2,uatm,Value,Munida
2005-01-21,2005,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.3,Degrees Celsius,Mean,Munida
2005-01-21,2005,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.292,NA,Value,Munida
2005-03-15,2005,Taiaroa Head (50km offshore),Otago,Salinity,34.319,NA,Mean,Munida
2005-03-15,2005,Taiaroa Head (50km offshore),Otago,Total alkalinity,2288.0,umol/kg-1,Value,Munida
2005-03-15,2005,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2073.5,umol/kg-1,Value,Munida
2005-03-15,2005,Taiaroa Head (50km offshore),Otago,pH,8.0877,NA,Value,Munida
2005-03-15,2005,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.1705e-09,mol/kg-1,Value,Munida
2005-03-15,2005,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,355.9,uatm,Value,Munida
2005-03-15,2005,Taiaroa Head (50km offshore),Otago,Salt water temperature,12.3,Degrees Celsius,Mean,Munida
2005-03-15,2005,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.357,NA,Value,Munida
2005-05-23,2005,Taiaroa Head (50km offshore),Otago,Salinity,34.330,NA,Mean,Munida
2005-05-23,2005,Taiaroa Head (50km offshore),Otago,Total alkalinity,2287.9,umol/kg-1,Value,Munida
2005-05-23,2005,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2093.4,umol/kg-1,Value,Munida
2005-05-23,2005,Taiaroa Head (50km offshore),Otago,pH,8.0891,NA,Value,Munida
2005-05-23,2005,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.1450e-09,mol/kg-1,Value,Munida
2005-05-23,2005,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,353.3,uatm,Value,Munida
2005-05-23,2005,Taiaroa Head (50km offshore),Otago,Salt water temperature,9.5,Degrees Celsius,Mean,Munida
2005-05-23,2005,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.139,NA,Value,Munida
2005-07-26,2005,Taiaroa Head (50km offshore),Otago,Salinity,34.333,NA,Mean,Munida
2005-07-26,2005,Taiaroa Head (50km offshore),Otago,Total alkalinity,2284.8,umol/kg-1,Value,Munida
2005-07-26,2005,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2105.2,umol/kg-1,Value,Munida
2005-07-26,2005,Taiaroa Head (50km offshore),Otago,pH,8.0727,NA,Value,Munida
2005-07-26,2005,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.4582e-09,mol/kg-1,Value,Munida
2005-07-26,2005,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,367.7,uatm,Value,Munida
2005-07-26,2005,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.4,Degrees Celsius,Mean,Munida
2005-07-26,2005,Taiaroa Head (50km offshore),Otago,Aragonite saturation,1.990,NA,Value,Munida
2005-09-14,2005,Taiaroa Head (50km offshore),Otago,Salinity,34.381,NA,Mean,Munida
2005-09-14,2005,Taiaroa Head (50km offshore),Otago,Total alkalinity,2297.4,umol/kg-1,Value,Munida
2005-09-14,2005,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2110.8,umol/kg-1,Value,Munida
2005-09-14,2005,Taiaroa Head (50km offshore),Otago,pH,8.0850,NA,Value,Munida
2005-09-14,2005,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.2232e-09,mol/kg-1,Value,Munida
2005-09-14,2005,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,358.0,uatm,Value,Munida
2005-09-14,2005,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.5,Degrees Celsius,Mean,Munida
2005-09-14,2005,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.060,NA,Value,Munida
2006-01-23,2006,Taiaroa Head (50km offshore),Otago,Salinity,34.300,NA,Mean,Munida
2006-01-23,2006,Taiaroa Head (50km offshore),Otago,Total alkalinity,2291.7,umol/kg-1,Value,Munida
2006-01-23,2006,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2090.6,umol/kg-1,Value,Munida
2006-01-23,2006,Taiaroa Head (50km offshore),Otago,pH,8.0782,NA,Value,Munida
2006-01-23,2006,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.3520e-09,mol/kg-1,Value,Munida
2006-01-23,2006,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,365.3,uatm,Value,Munida
2006-01-23,2006,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.1,Degrees Celsius,Mean,Munida
2006-01-23,2006,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.219,NA,Value,Munida
2006-01-27,2006,Taiaroa Head (50km offshore),Otago,Salinity,34.363,NA,Mean,Munida
2006-01-27,2006,Taiaroa Head (50km offshore),Otago,Total alkalinity,2287.0,umol/kg-1,Value,Munida
2006-01-27,2006,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2073.5,umol/kg-1,Value,Munida
2006-01-27,2006,Taiaroa Head (50km offshore),Otago,pH,8.0725,NA,Value,Munida
2006-01-27,2006,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.4619e-09,mol/kg-1,Value,Munida
2006-01-27,2006,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,370.7,uatm,Value,Munida
2006-01-27,2006,Taiaroa Head (50km offshore),Otago,Salt water temperature,13.1,Degrees Celsius,Mean,Munida
2006-01-27,2006,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.356,NA,Value,Munida
2006-03-21,2006,Taiaroa Head (50km offshore),Otago,Salinity,34.305,NA,Mean,Munida
2006-03-21,2006,Taiaroa Head (50km offshore),Otago,Total alkalinity,2289.9,umol/kg-1,Value,Munida
2006-03-21,2006,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2081.3,umol/kg-1,Value,Munida
2006-03-21,2006,Taiaroa Head (50km offshore),Otago,pH,8.0861,NA,Value,Munida
2006-03-21,2006,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.2022e-09,mol/kg-1,Value,Munida
2006-03-21,2006,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,357.6,uatm,Value,Munida
2006-03-21,2006,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.6,Degrees Celsius,Mean,Munida
2006-03-21,2006,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.295,NA,Value,Munida
2006-07-30,2006,Taiaroa Head (50km offshore),Otago,Salinity,NA,NA,Mean,Munida
2006-07-30,2006,Taiaroa Head (50km offshore),Otago,Total alkalinity,NA,umol/kg-1,Value,Munida
2006-07-30,2006,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,NA,umol/kg-1,Value,Munida
2006-07-30,2006,Taiaroa Head (50km offshore),Otago,pH,NA,NA,Value,Munida
2006-07-30,2006,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,NA,mol/kg-1,Value,Munida
2006-07-30,2006,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,NA,uatm,Value,Munida
2006-07-30,2006,Taiaroa Head (50km offshore),Otago,Salt water temperature,NA,Degrees Celsius,Mean,Munida
2006-07-30,2006,Taiaroa Head (50km offshore),Otago,Aragonite saturation,NA,NA,Value,Munida
2006-08-30,2006,Taiaroa Head (50km offshore),Otago,Salinity,34.247,NA,Mean,Munida
2006-08-30,2006,Taiaroa Head (50km offshore),Otago,Total alkalinity,2278.6,umol/kg-1,Value,Munida
2006-08-30,2006,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2098.9,umol/kg-1,Value,Munida
2006-08-30,2006,Taiaroa Head (50km offshore),Otago,pH,8.0806,NA,Value,Munida
2006-08-30,2006,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.3058e-09,mol/kg-1,Value,Munida
2006-08-30,2006,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,359.0,uatm,Value,Munida
2006-08-30,2006,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.0,Degrees Celsius,Mean,Munida
2006-08-30,2006,Taiaroa Head (50km offshore),Otago,Aragonite saturation,1.987,NA,Value,Munida
2006-10-24,2006,Taiaroa Head (50km offshore),Otago,Salinity,34.307,NA,Mean,Munida
2006-10-24,2006,Taiaroa Head (50km offshore),Otago,Total alkalinity,2277.2,umol/kg-1,Value,Munida
2006-10-24,2006,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2097.0,umol/kg-1,Value,Munida
2006-10-24,2006,Taiaroa Head (50km offshore),Otago,pH,8.0707,NA,Value,Munida
2006-10-24,2006,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.4980e-09,mol/kg-1,Value,Munida
2006-10-24,2006,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,368.7,uatm,Value,Munida
2006-10-24,2006,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.7,Degrees Celsius,Mean,Munida
2006-10-24,2006,Taiaroa Head (50km offshore),Otago,Aragonite saturation,1.996,NA,Value,Munida
2006-12-15,2006,Taiaroa Head (50km offshore),Otago,Salinity,34.232,NA,Mean,Munida
2006-12-15,2006,Taiaroa Head (50km offshore),Otago,Total alkalinity,2290.6,umol/kg-1,Value,Munida
2006-12-15,2006,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2071.8,umol/kg-1,Value,Munida
2006-12-15,2006,Taiaroa Head (50km offshore),Otago,pH,8.1274,NA,Value,Munida
2006-12-15,2006,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,7.4574e-09,mol/kg-1,Value,Munida
2006-12-15,2006,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,319.9,uatm,Value,Munida
2006-12-15,2006,Taiaroa Head (50km offshore),Otago,Salt water temperature,10.4,Degrees Celsius,Mean,Munida
2006-12-15,2006,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.379,NA,Value,Munida
2007-04-02,2007,Taiaroa Head (50km offshore),Otago,Salinity,34.285,NA,Mean,Munida
2007-04-02,2007,Taiaroa Head (50km offshore),Otago,Total alkalinity,2288.9,umol/kg-1,Value,Munida
2007-04-02,2007,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2079.0,umol/kg-1,Value,Munida
2007-04-02,2007,Taiaroa Head (50km offshore),Otago,pH,8.0893,NA,Value,Munida
2007-04-02,2007,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.1414e-09,mol/kg-1,Value,Munida
2007-04-02,2007,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,354.4,uatm,Value,Munida
2007-04-02,2007,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.6,Degrees Celsius,Mean,Munida
2007-04-02,2007,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.306,NA,Value,Munida
2007-05-22,2007,Taiaroa Head (50km offshore),Otago,Salinity,34.343,NA,Mean,Munida
2007-05-22,2007,Taiaroa Head (50km offshore),Otago,Total alkalinity,2287.6,umol/kg-1,Value,Munida
2007-05-22,2007,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2096.2,umol/kg-1,Value,Munida
2007-05-22,2007,Taiaroa Head (50km offshore),Otago,pH,8.0754,NA,Value,Munida
2007-05-22,2007,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.4064e-09,mol/kg-1,Value,Munida
2007-05-22,2007,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,366.5,uatm,Value,Munida
2007-05-22,2007,Taiaroa Head (50km offshore),Otago,Salt water temperature,9.9,Degrees Celsius,Mean,Munida
2007-05-22,2007,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.113,NA,Value,Munida
2007-07-20,2007,Taiaroa Head (50km offshore),Otago,Salinity,34.109,NA,Mean,Munida
2007-07-20,2007,Taiaroa Head (50km offshore),Otago,Total alkalinity,2287.2,umol/kg-1,Value,Munida
2007-07-20,2007,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2113.7,umol/kg-1,Value,Munida
2007-07-20,2007,Taiaroa Head (50km offshore),Otago,pH,8.0636,NA,Value,Munida
2007-07-20,2007,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.6384e-09,mol/kg-1,Value,Munida
2007-07-20,2007,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,377.5,uatm,Value,Munida
2007-07-20,2007,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.2,Degrees Celsius,Mean,Munida
2007-07-20,2007,Taiaroa Head (50km offshore),Otago,Aragonite saturation,1.938,NA,Value,Munida
2007-09-19,2007,Taiaroa Head (50km offshore),Otago,Salinity,34.316,NA,Mean,Munida
2007-09-19,2007,Taiaroa Head (50km offshore),Otago,Total alkalinity,2288.8,umol/kg-1,Value,Munida
2007-09-19,2007,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2112.7,umol/kg-1,Value,Munida
2007-09-19,2007,Taiaroa Head (50km offshore),Otago,pH,8.0423,NA,Value,Munida
2007-09-19,2007,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,9.0711e-09,mol/kg-1,Value,Munida
2007-09-19,2007,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,400.2,uatm,Value,Munida
2007-09-19,2007,Taiaroa Head (50km offshore),Otago,Salt water temperature,9.8,Degrees Celsius,Mean,Munida
2007-09-19,2007,Taiaroa Head (50km offshore),Otago,Aragonite saturation,1.974,NA,Value,Munida
2007-11-26,2007,Taiaroa Head (50km offshore),Otago,Salinity,34.297,NA,Mean,Munida
2007-11-26,2007,Taiaroa Head (50km offshore),Otago,Total alkalinity,2274.7,umol/kg-1,Value,Munida
2007-11-26,2007,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2088.8,umol/kg-1,Value,Munida
2007-11-26,2007,Taiaroa Head (50km offshore),Otago,pH,8.0570,NA,Value,Munida
2007-11-26,2007,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.7693e-09,mol/kg-1,Value,Munida
2007-11-26,2007,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,383.1,uatm,Value,Munida
2007-11-26,2007,Taiaroa Head (50km offshore),Otago,Salt water temperature,10.4,Degrees Celsius,Mean,Munida
2007-11-26,2007,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.064,NA,Value,Munida
2008-01-15,2008,Taiaroa Head (50km offshore),Otago,Salinity,34.309,NA,Mean,Munida
2008-01-15,2008,Taiaroa Head (50km offshore),Otago,Total alkalinity,2311.1,umol/kg-1,Value,Munida
2008-01-15,2008,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2089.0,umol/kg-1,Value,Munida
2008-01-15,2008,Taiaroa Head (50km offshore),Otago,pH,8.0939,NA,Value,Munida
2008-01-15,2008,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.0553e-09,mol/kg-1,Value,Munida
2008-01-15,2008,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,353.8,uatm,Value,Munida
2008-01-15,2008,Taiaroa Head (50km offshore),Otago,Salt water temperature,12.7,Degrees Celsius,Mean,Munida
2008-01-15,2008,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.445,NA,Value,Munida
