date,year,site,region,measure,data_value,unit,statistic,dataset
1998-11-16,1998,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2086.1,umol/kg-1,Value,Munida
1998-11-16,1998,Taiaroa Head (50km offshore),Otago,pH,8.0697,NA,Value,Munida
1998-11-16,1998,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.5173e-09,mol/kg-1,Value,Munida
1998-11-16,1998,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,370.8,uatm,Value,Munida
1998-11-16,1998,Taiaroa Head (50km offshore),Otago,Salt water temperature,10.3,Degrees Celsius,Mean,Munida
1998-11-16,1998,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.110,NA,Value,Munida
1999-02-12,1999,Taiaroa Head (50km offshore),Otago,Salinity,34.281,NA,Mean,Munida
1999-02-12,1999,Taiaroa Head (50km offshore),Otago,Total alkalinity,2283.3,umol/kg-1,Value,Munida
1999-02-12,1999,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2062.4,umol/kg-1,Value,Munida
1999-02-12,1999,Taiaroa Head (50km offshore),Otago,pH,8.0767,NA,Value,Munida
1999-02-12,1999,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.3814e-09,mol/kg-1,Value,Munida
1999-02-12,1999,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,366.5,uatm,Value,Munida
1999-02-12,1999,Taiaroa Head (50km offshore),Otago,Salt water temperature,13.9,Degrees Celsius,Mean,Munida
1999-02-12,1999,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.437,NA,Value,Munida
1999-04-20,1999,Taiaroa Head (50km offshore),Otago,Salinity,34.270,NA,Mean,Munida
1999-04-20,1999,Taiaroa Head (50km offshore),Otago,Total alkalinity,2285.9,umol/kg-1,Value,Munida
1999-04-20,1999,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2077.7,umol/kg-1,Value,Munida
1999-04-20,1999,Taiaroa Head (50km offshore),Otago,pH,8.0873,NA,Value,Munida
1999-04-20,1999,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.1787e-09,mol/kg-1,Value,Munida
1999-04-20,1999,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,355.8,uatm,Value,Munida
1999-04-20,1999,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.5,Degrees Celsius,Mean,Munida
1999-04-20,1999,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.289,NA,Value,Munida
1999-05-11,1999,Taiaroa Head (50km offshore),Otago,Salinity,34.273,NA,Mean,Munida
1999-05-11,1999,Taiaroa Head (50km offshore),Otago,Total alkalinity,2278.4,umol/kg-1,Value,Munida
1999-05-11,1999,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2074.2,umol/kg-1,Value,Munida
1999-05-11,1999,Taiaroa Head (50km offshore),Otago,pH,8.0945,NA,Value,Munida
1999-05-11,1999,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.0441e-09,mol/kg-1,Value,Munida
1999-05-11,1999,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,347.4,uatm,Value,Munida
1999-05-11,1999,Taiaroa Head (50km offshore),Otago,Salt water temperature,10.6,Degrees Celsius,Mean,Munida
1999-05-11,1999,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.237,NA,Value,Munida
1999-06-01,1999,Taiaroa Head (50km offshore),Otago,Salinity,34.277,NA,Mean,Munida
1999-06-01,1999,Taiaroa Head (50km offshore),Otago,Total alkalinity,2286.6,umol/kg-1,Value,Munida
1999-06-01,1999,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2084.1,umol/kg-1,Value,Munida
1999-06-01,1999,Taiaroa Head (50km offshore),Otago,pH,8.0917,NA,Value,Munida
1999-06-01,1999,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.0961e-09,mol/kg-1,Value,Munida
1999-06-01,1999,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,351.3,uatm,Value,Munida
1999-06-01,1999,Taiaroa Head (50km offshore),Otago,Salt water temperature,10.4,Degrees Celsius,Mean,Munida
1999-06-01,1999,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.223,NA,Value,Munida
1999-07-05,1999,Taiaroa Head (50km offshore),Otago,Salinity,34.274,NA,Mean,Munida
1999-07-05,1999,Taiaroa Head (50km offshore),Otago,Total alkalinity,2289.7,umol/kg-1,Value,Munida
1999-07-05,1999,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2099.3,umol/kg-1,Value,Munida
1999-07-05,1999,Taiaroa Head (50km offshore),Otago,pH,8.0882,NA,Value,Munida
1999-07-05,1999,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.1614e-09,mol/kg-1,Value,Munida
1999-07-05,1999,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,354.2,uatm,Value,Munida
1999-07-05,1999,Taiaroa Head (50km offshore),Otago,Salt water temperature,9.0,Degrees Celsius,Mean,Munida
1999-07-05,1999,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.098,NA,Value,Munida
1999-08-27,1999,Taiaroa Head (50km offshore),Otago,Salinity,34.300,NA,Mean,Munida
1999-08-27,1999,Taiaroa Head (50km offshore),Otago,Total alkalinity,2292.9,umol/kg-1,Value,Munida
1999-08-27,1999,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2114.2,umol/kg-1,Value,Munida
1999-08-27,1999,Taiaroa Head (50km offshore),Otago,pH,8.0670,NA,Value,Munida
1999-08-27,1999,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.5709e-09,mol/kg-1,Value,Munida
1999-08-27,1999,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,374.9,uatm,Value,Munida
1999-08-27,1999,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.6,Degrees Celsius,Mean,Munida
1999-08-27,1999,Taiaroa Head (50km offshore),Otago,Aragonite saturation,1.988,NA,Value,Munida
1999-11-25,1999,Taiaroa Head (50km offshore),Otago,Salinity,34.265,NA,Mean,Munida
1999-11-25,1999,Taiaroa Head (50km offshore),Otago,Total alkalinity,2279.2,umol/kg-1,Value,Munida
1999-11-25,1999,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2079.1,umol/kg-1,Value,Munida
1999-11-25,1999,Taiaroa Head (50km offshore),Otago,pH,8.0778,NA,Value,Munida
1999-11-25,1999,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.3598e-09,mol/kg-1,Value,Munida
1999-11-25,1999,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,363.7,uatm,Value,Munida
1999-11-25,1999,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.1,Degrees Celsius,Mean,Munida
1999-11-25,1999,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.205,NA,Value,Munida
2000-02-14,2000,Taiaroa Head (50km offshore),Otago,Salinity,34.311,NA,Mean,Munida
2000-02-14,2000,Taiaroa Head (50km offshore),Otago,Total alkalinity,2289.3,umol/kg-1,Value,Munida
2000-02-14,2000,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2065.9,umol/kg-1,Value,Munida
2000-02-14,2000,Taiaroa Head (50km offshore),Otago,pH,8.0993,NA,Value,Munida
2000-02-14,2000,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,7.9561e-09,mol/kg-1,Value,Munida
2000-02-14,2000,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,345.3,uatm,Value,Munida
2000-02-14,2000,Taiaroa Head (50km offshore),Otago,Salt water temperature,12.7,Degrees Celsius,Mean,Munida
2000-02-14,2000,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.448,NA,Value,Munida
2000-04-03,2000,Taiaroa Head (50km offshore),Otago,Salinity,34.294,NA,Mean,Munida
2000-04-03,2000,Taiaroa Head (50km offshore),Otago,Total alkalinity,2285.3,umol/kg-1,Value,Munida
2000-04-03,2000,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2074.0,umol/kg-1,Value,Munida
2000-04-03,2000,Taiaroa Head (50km offshore),Otago,pH,8.0938,NA,Value,Munida
2000-04-03,2000,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.0580e-09,mol/kg-1,Value,Munida
2000-04-03,2000,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,349.6,uatm,Value,Munida
2000-04-03,2000,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.5,Degrees Celsius,Mean,Munida
2000-04-03,2000,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.317,NA,Value,Munida
2000-06-01,2000,Taiaroa Head (50km offshore),Otago,Salinity,34.300,NA,Mean,Munida
2000-06-01,2000,Taiaroa Head (50km offshore),Otago,Total alkalinity,2293.9,umol/kg-1,Value,Munida
2000-06-01,2000,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2100.4,umol/kg-1,Value,Munida
2000-06-01,2000,Taiaroa Head (50km offshore),Otago,pH,8.0737,NA,Value,Munida
2000-06-01,2000,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.4388e-09,mol/kg-1,Value,Munida
2000-06-01,2000,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,369.6,uatm,Value,Munida
2000-06-01,2000,Taiaroa Head (50km offshore),Otago,Salt water temperature,10.3,Degrees Celsius,Mean,Munida
2000-06-01,2000,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.141,NA,Value,Munida
2000-08-02,2000,Taiaroa Head (50km offshore),Otago,Salinity,34.303,NA,Mean,Munida
2000-08-02,2000,Taiaroa Head (50km offshore),Otago,Total alkalinity,2287.1,umol/kg-1,Value,Munida
